pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
i,1,0.494425,0,0,0,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,0,0.48037,0,1,1,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.48477,0,2,2,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.38596,0,3,3,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.53295,0,4,4,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.64781,0,5,5,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.56695,0,6,6,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.56523,0,7,7,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.383295,0,8,8,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.398775,0,9,9,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.468525,0,10,10,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,0,0.38299,0,11,11,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.38136,0,12,12,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,0,0.59849,0,13,13,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.355455,0,14,14,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.55064,0,15,15,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.733795,0,16,16,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.59928,0,17,17,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.51678,0,18,18,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.416305,0,19,19,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.49249,0,20,20,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.44994,0,21,21,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.36572,0,22,22,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.555355,0,23,23,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,space,1.16525,space,1.1494,e,1,1.476565,0,0,0,16,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,0.948475,0,1,1,7,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,0.868695,0,2,2,3,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,0.91735,0,3,3,1,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.00349,0,4,4,6,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,5,5,35,1,0.1,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,6,6,41,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,7,7,39,1,0.3,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,8,8,23,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,9,9,29,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,10,10,44,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,11,11,24,1,1.1,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,12,12,12,1,0.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,13,13,25,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,14,14,42,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,15,15,27,1,0.4,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.485935,0,16,16,43,1,1.1,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,17,17,34,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.65384,0,18,18,40,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.05586,0,19,19,2,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.11714,0,20,20,4,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,21,21,20,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.037915,0,22,22,10,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.436545,0,23,23,30,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,24,24,47,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,25,25,15,1,0.3,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,26,26,38,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.319065,0,27,27,32,1,1.3,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,28,28,21,1,0.1,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.069935,0,29,29,5,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.185425,0,30,30,0,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.38577,0,31,31,17,1,1.3,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,32,32,46,1,0.4,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,33,33,28,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,34,34,22,1,0.4,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,35,35,18,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,0.96933,0,36,36,8,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,37,37,37,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,38,38,19,1,1,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,39,39,14,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.6193,0,40,40,31,1,1,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.305035,0,41,41,45,1,1.3,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.4861,0,42,42,26,1,1.1,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,43,43,13,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,0.967395,0,44,44,9,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,45,45,33,1,0.6,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,0,46,46,36,1,0.3,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.15213,0,47,47,11,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,0,48,38,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.617345,1,1,49,40,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.26679,1,2,50,45,1,1.3,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.554455,1,3,51,19,1,1,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,4,52,23,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,5,53,33,1,0.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,0.88527,1,6,54,7,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,7,55,20,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.55633,1,8,56,16,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,9,57,28,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.055405,1,10,58,4,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.0181,1,11,59,11,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,12,60,42,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.154255,1,13,61,2,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,0,0.91806,1,14,62,10,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,15,63,41,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,16,64,15,1,0.3,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,17,65,35,1,0.1,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,18,66,21,1,0.1,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.552425,1,19,67,26,1,1.1,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,20,68,22,1,0.4,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,21,69,14,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,22,70,34,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.63319,1,23,71,31,1,1,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,0.95155,1,24,72,1,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,25,73,29,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,,0,,1,26,74,44,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,e,1,1.5183,1,27,75,30,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-09_08h58.23.060,ANT,2020.1.3,MacIntel,60,,,,,i,1,1.21859,1,28,76,5,1,1.6,,,,,,,,,,
